"SE","tweets","APS","casos","estacao","x"
201440,65,"AP2.1",2,"santosdumont",20.3333333333333
201441,143,"AP2.1",2,"santosdumont",19.4285714285714
201442,105,"AP2.1",4,"santosdumont",20.4285714285714
201443,88,"AP2.1",10,"santosdumont",20.7142857142857
201444,58,"AP2.1",4,"santosdumont",22.2857142857143
201445,NA,"AP2.1",1,"santosdumont",22
201001,NA,"AP2.2",2,"santosdumont",25.4285714285714
201002,NA,"AP2.2",3,"santosdumont",25.2857142857143
201003,NA,"AP2.2",2,"santosdumont",24.2857142857143
201004,NA,"AP2.2",1,"santosdumont",24.1666666666667
201005,NA,"AP2.2",5,"santosdumont",25.4285714285714
201006,NA,"AP2.2",1,"santosdumont",25.7142857142857
201007,NA,"AP2.2",5,"santosdumont",24.4285714285714
